region,employment,population,classification
East Midlands,Does not apply,3154330,Rural
East Midlands,Not in employment: Worked in the last 12 months,229221,Rural
East Midlands,Not in employment: Not worked in the last 12 months,1089730,Rural
East Midlands,Not in employment: Never worked,406772,Rural
East of England,Does not apply,4215431,Rural
East of England,Not in employment: Worked in the last 12 months,271820,Rural
East of England,Not in employment: Not worked in the last 12 months,1394562,Rural
East of England,Not in employment: Never worked,453261,Rural
London,Does not apply,6055820,Urban
London,Not in employment: Worked in the last 12 months,440731,Urban
London,Not in employment: Not worked in the last 12 months,1336449,Urban
London,Not in employment: Never worked,966729,Urban
North East,Does not apply,1606109,Rural
North East,Not in employment: Worked in the last 12 months,117767,Rural
North East,Not in employment: Not worked in the last 12 months,622065,Rural
North East,Not in employment: Never worked,301072,Rural
North West,Does not apply,4733507,Rural
North West,Not in employment: Worked in the last 12 months,333426,Rural
North West,Not in employment: Not worked in the last 12 months,1609858,Rural
North West,Not in employment: Never worked,740606,Rural
South East,Does not apply,6195264,Rural
South East,Not in employment: Worked in the last 12 months,420077,Rural
South East,Not in employment: Not worked in the last 12 months,2020237,Rural
South East,Not in employment: Never worked,642487,Rural
South West,Does not apply,3657680,Rural
South West,Not in employment: Worked in the last 12 months,268111,Rural
South West,Not in employment: Not worked in the last 12 months,1407208,Rural
South West,Not in employment: Never worked,368187,Rural
Wales,Does not apply,1916529,Rural
Wales,Not in employment: Worked in the last 12 months,136790,Rural
Wales,Not in employment: Not worked in the last 12 months,778991,Rural
Wales,Not in employment: Never worked,275184,Rural
West Midlands,Does not apply,3788317,Rural
West Midlands,Not in employment: Worked in the last 12 months,262925,Rural
West Midlands,Not in employment: Not worked in the last 12 months,1289185,Rural
West Midlands,Not in employment: Never worked,610332,Rural
Yorkshire and The Humber,Does not apply,3481844,Rural
Yorkshire and The Humber,Not in employment: Worked in the last 12 months,248891,Rural
Yorkshire and The Humber,Not in employment: Not worked in the last 12 months,1214698,Rural
Yorkshire and The Humber,Not in employment: Never worked,535341,Rural
