occupationDescription,urbanValue,ruralValue
"Does not apply",18332.163142947302,11313.485987210863
"Chief Executives and Senior Officials",83.45945093089303,42.09883950422358
"Production Managers and Directors",274.7866834963711,228.5208810294466
"Functional Managers and Directors",580.5317134742821,334.45054077524276
"Directors in Logistics Warehousing and Transport",6.608709372041654,5.74319096865872
"Managers and Directors in Retail and Wholesale",250.33291259072263,166.4390937080603
"Senior Officers in Protective Services",15.356579362574944,18.078471619167917
"Health and Social Services Managers and Directors",67.6285894603976,43.539906844556725
"Managers and Proprietors in Agriculture Related Services",8.644051751341117,23.85008289255546
"Managers and Proprietors in Hospitality and Leisure Services",165.29220574313663,109.63100971027079
"Managers and Proprietors in Health and Care Services",41.063111391606185,31.128680824188837
"Managers in Logistics Warehousing and Transport",87.31650362890501,62.23375700639457
"Managers and Proprietors in Other Services",321.162827390344,207.71784953027552
"Natural and Social Science Professionals",55.44809088040391,34.76442725191443
"Engineering Professionals",199.5153045124645,140.23178337412173
"Information Technology Professionals",454.99305774692334,223.4943554116997
"Web and Multimedia Design Professionals",65.82928368570526,30.458356359043183
"Conservation and Environment Professionals",18.72357210476491,15.02139417383753
"Research and Development (R&D) and Other Research Professionals",59.219943199747554,27.027551906528775
"Medical Practitioners",159.3531082360366,78.18236362200994
"Therapy Professionals",97.71978542126854,59.80263677271651
"Nursing and Midwifery Professionals",359.41748185547493,222.31593905423543
"Veterinarians",6.657936257494478,8.248598721086287
"Other Health Professionals",129.56768696749762,71.88971342859398
"Teaching and other Educational Professionals",555.0258756705585,339.6276150627615
"Other Educational Professionals",109.14105396023983,73.26841398910555
"Legal Professionals",162.0987693278637,70.28491355490645
"Finance Professionals",262.69864310508046,123.20533670166574
"Business Research and Administrative Professionals",245.86872830545914,106.5114865398279
"Business and Financial Project Management Professionals",124.59577153676238,68.19515275913791
"Architects Chartered Architectural Technologists Planning Officers Surveyors and Construction Professionals",102.80687914168507,67.23999368437673
"Welfare Professionals",90.81035026822342,54.12473355964317
"Librarians and Related Professionals",12.469548753550015,6.6156943238335835
"Quality and Regulatory Professionals",73.88198169769643,46.449277650588144
"Media Professionals",114.27327232565479,42.16302202573616
