constituency,homeowners,renters,classification
Aberavon,19170,10564,Rural
Aberconwy,17911,7863,Rural
Aldershot,27943,15629,Urban
Aldridge-Brownhills,24206,8565,Urban
Altrincham and Sale West,30477,10266,Urban
Alyn and Deeside,26229,9969,Rural
Amber Valley,28478,11896,Rural
Arfon,15431,9126,Rural
Arundel and South Downs,34210,10497,Rural
Ashfield,30719,14554,Rural
Ashford,34707,16585,Rural
Ashton-under-Lyne,23677,17088,Urban
Aylesbury,33953,15819,Rural
Banbury,36543,18950,Rural
Barking,20241,28366,Urban
Barnsley Central,24559,15873,Urban
Barnsley East,25424,15882,Urban
Barrow and Furness,29563,10889,Rural
Basildon and Billericay,25625,13853,Urban
Basingstoke,30851,18592,Urban
Bassetlaw,32306,15136,Rural
Bath,21991,16995,Urban
Batley and Spen,29076,15672,Urban
Battersea,20922,31502,Urban
Beaconsfield,30831,11570,Rural
Beckenham,28282,9762,Urban
Bedford,25222,19921,Urban
Bermondsey and Old Southwark,16293,46703,Urban
Berwick-upon-Tweed,22580,12527,Rural
Bethnal Green and Bow,13713,40132,Urban
Beverley and Holderness,33204,11433,Rural
Bexhill and Battle,35103,11570,Rural
Bexleyheath and Crayford,25867,10433,Urban
Birkenhead,21177,20177,Urban
Birmingham Edgbaston,20576,19814,Urban
Birmingham Erdington,20746,21364,Urban
Birmingham Hall Green,23029,16957,Urban
Birmingham Hodge Hill,20963,18422,Urban
Birmingham Ladywood,14212,37689,Urban
Birmingham Northfield,25161,19374,Urban
Birmingham Perry Barr,22586,16437,Urban
Birmingham Selly Oak,23647,18366,Urban
Birmingham Yardley,24163,18071,Urban
Bishop Auckland,26226,15318,Rural
Blackburn,23730,17402,Urban
Blackley and Broughton,17063,29850,Urban
Blackpool North and Cleveleys,24700,13917,Urban
Blackpool South,20769,16089,Urban
Blaenau Gwent,18258,12041,Rural
Blaydon,27262,12651,Rural
Blyth Valley,25076,13825,Urban
Bognor Regis and Littlehampton,32838,15015,Urban
Bolsover,29282,14730,Rural
Bolton North East,24375,17168,Urban
Bolton South East,23318,18304,Urban
Bolton West,29850,12345,Urban
Bootle,23858,20978,Urban
Boston and Skegness,28535,18555,Rural
Bosworth,34764,11744,Rural
Bournemouth East,27002,19767,Urban
Bournemouth West,25133,20134,Urban
Bracknell,31061,14307,Urban
Bradford East,23890,18723,Urban
Bradford South,25663,16813,Urban
Bradford West,20668,18558,Urban
Braintree,29908,13182,Rural
Brecon and Radnorshire,21875,9833,Rural
Brent Central,18165,36329,Urban
Brent North,22616,22303,Urban
Brentford and Isleworth,26698,28943,Urban
Brentwood and Ongar,29812,11090,Rural
Bridgend,26027,10492,Urban
Bridgwater and West Somerset,33783,17111,Rural
Brigg and Goole,27101,11207,Rural
Brighton Kemptown,21666,19015,Urban
Brighton Pavilion,23418,20994,Urban
Bristol East,27085,16242,Urban
Bristol North West,25949,16753,Urban
Bristol South,28356,20377,Urban
Bristol West,23686,32719,Urban
Broadland,32795,10953,Rural
Bromley and Chislehurst,25508,13410,Urban
Bromsgrove,32452,8796,Rural
Broxbourne,29616,12411,Urban
Broxtowe,30097,11679,Urban
Buckingham,34241,11000,Rural
Burnley,23927,15905,Rural
Burton,30598,15805,Rural
Bury North,25875,12282,Urban
Bury South,28409,14011,Urban
Bury St Edmunds,35288,16693,Rural
Caerphilly,25312,11680,Rural
Calder Valley,32039,14307,Rural
Camberwell and Peckham,16338,36297,Urban
Camborne and Redruth,27721,13301,Rural
Cambridge,21857,26522,Urban
Cannock Chase,29453,13893,Urban
Canterbury,27977,16822,Rural
Cardiff Central,16430,17465,Urban
Cardiff North,27497,9531,Urban
Cardiff South and Penarth,26729,21714,Urban
Cardiff West,24707,15642,Urban
Carlisle,27109,13734,Rural
Carmarthen East and Dinefwr,23935,7999,Rural
Carmarthen West and South Pembrokeshire,23527,11303,Rural
Carshalton and Wallington,26232,14250,Urban
Castle Point,30072,7291,Urban
Central Devon,30129,11558,Rural
Central Suffolk and North Ipswich,32471,10893,Rural
Ceredigion,21272,9610,Rural
Charnwood,34529,8651,Rural
Chatham and Aylesford,27048,14021,Urban
Cheadle,32303,6809,Urban
Chelmsford,31752,15678,Urban
Chelsea and Fulham,17812,28588,Urban
Cheltenham,30066,17673,Urban
Chesham and Amersham,29155,9615,Rural
Chesterfield,27280,16055,Urban
Chichester,33382,16538,Rural
Chingford and Woodford Green,23978,12983,Urban
Chippenham,31192,12649,Rural
Chipping Barnet,29357,16655,Urban
Chorley,32714,12784,Rural
Christchurch,31139,8779,Rural
Cities of London and Westminster,14750,35637,Urban
City of Chester,27614,16189,Rural
City of Durham,25564,15093,Rural
Clacton,30268,12165,Rural
Cleethorpes,30123,11857,Rural
Clwyd South,19887,10804,Rural
Clwyd West,23076,10104,Rural
Colchester,29235,21977,Urban
Colne Valley,34723,13636,Rural
Congleton,35660,10338,Rural
Copeland,25101,9996,Rural
Corby,34660,17726,Rural
Coventry North East,25898,21751,Urban
Coventry North West,28319,15925,Urban
Coventry South,23751,18285,Urban
Crawley,25923,19447,Urban
Crewe and Nantwich,33113,16353,Rural
Croydon Central,25760,24393,Urban
Croydon North,27247,28923,Urban
Croydon South,32844,13496,Urban
Cynon Valley,20598,10402,Rural
Dagenham and Rainham,23775,17525,Urban
Darlington,25535,16732,Urban
Dartford,33047,15008,Urban
Daventry,32610,11875,Rural
Delyn,22094,8584,Rural
Denton and Reddish,25205,13707,Urban
Derby North,25576,17613,Urban
Derby South,23797,21173,Urban
Derbyshire Dales,26708,9577,Rural
Devizes,25438,16301,Rural
Dewsbury,30522,13639,Rural
Don Valley,30020,13254,Rural
Doncaster Central,27494,19346,Urban
Doncaster North,26933,16036,Rural
Dover,29274,15002,Rural
Dudley North,21574,13852,Urban
Dudley South,23108,11585,Urban
Dulwich and West Norwood,20210,26562,Urban
Dwyfor Meirionnydd,18147,8296,Rural
Ealing Central and Acton,23607,29651,Urban
Ealing North,23641,22087,Urban
Ealing Southall,17224,17136,Urban
Easington,22092,14935,Rural
East Devon,35875,13002,Rural
East Ham,18578,32465,Urban
East Hampshire,31434,11780,Rural
East Surrey,34877,11761,Rural
East Worthing and Shoreham,30940,11563,Urban
East Yorkshire,33322,14073,Rural
Eastbourne,30524,18533,Urban
Eastleigh,34219,13974,Urban
Eddisbury,30405,10974,Rural
Edmonton,18291,22630,Urban
Ellesmere Port and Neston,28141,12215,Rural
Elmet and Rothwell,34485,10210,Rural
Eltham,21445,16478,Urban
Enfield North,22018,18490,Urban
Enfield Southgate,24357,14841,Urban
Epping Forest,28430,12818,Rural
Epsom and Ewell,33459,9987,Urban
Erewash,29171,13408,Urban
Erith and Thamesmead,20706,22327,Urban
Esher and Walton,33595,12362,Urban
Exeter,25815,19917,Urban
Fareham,33494,9042,Urban
Faversham and Mid Kent,29706,11499,Rural
Feltham and Heston,22571,24461,Urban
Filton and Bradley Stoke,29118,13344,Urban
Finchley and Golders Green,25165,24377,Urban
Folkestone and Hythe,33979,16537,Rural
Forest of Dean,28873,10210,Rural
Fylde,29525,10978,Rural
Gainsborough,30985,12497,Rural
Garston and Halewood,27292,16794,Urban
Gateshead,20041,21448,Urban
Gedling,30399,11375,Urban
Gillingham and Rainham,27477,13263,Urban
Gloucester,32551,18779,Urban
Gosport,28321,13601,Urban
Gower,26075,8279,Rural
Grantham and Stamford,33213,16185,Rural
Gravesham,26403,15220,Urban
Great Grimsby,22210,15883,Urban
Great Yarmouth,27649,16789,Rural
Greenwich and Woolwich,20559,35765,Urban
Guildford,28039,15075,Rural
Hackney North and Stoke Newington,15581,36955,Urban
Hackney South and Shoreditch,13149,40136,Urban
Halesowen and Rowley Regis,25776,12892,Urban
Halifax,26765,17300,Urban
Haltemprice and Howden,31680,7632,Rural
Halton,26194,16595,Urban
Hammersmith,15896,36288,Urban
Hampstead and Kilburn,20760,36472,Urban
Harborough,33675,10570,Rural
Harlow,24412,17976,Urban
Harrogate and Knaresborough,32770,13757,Rural
Harrow East,22592,13979,Urban
Harrow West,22551,18298,Urban
Hartlepool,24073,16788,Rural
Harwich and North Essex,31042,9854,Rural
Hastings and Rye,29335,19405,Rural
Havant,27261,13435,Urban
Hayes and Harlington,20055,21249,Urban
Hazel Grove,27040,7782,Urban
Hemel Hempstead,26340,17561,Urban
Hemsworth,27890,15304,Rural
Hendon,25515,27709,Urban
Henley,31711,11155,Rural
Hereford and South Herefordshire,28009,15288,Rural
Hertford and Stortford,33295,14591,Rural
Hertsmere,27887,14771,Urban
Hexham,24556,9677,Rural
Heywood and Middleton,29263,17045,Urban
High Peak,29213,11502,Rural
Hitchin and Harpenden,30221,11954,Rural
Holborn and St Pancras,14520,39761,Urban
Hornchurch and Upminster,31570,12326,Urban
Hornsey and Wood Green,24209,28230,Urban
Horsham,35806,13194,Rural
Houghton and Sunderland South,24659,15649,Urban
Hove,25673,20339,Urban
Huddersfield,22963,17281,Urban
Huntingdon,35671,16521,Rural
Hyndburn,25198,14515,Urban
Ilford North,25236,14275,Urban
Ilford South,22189,22298,Urban
Ipswich,26633,22587,Urban
Isle of Wight,44329,20437,Rural
Islington North,14753,33266,Urban
Islington South and Finsbury,12568,35600,Urban
Islwyn,22251,9976,Rural
Jarrow,22849,14962,Urban
Keighley,29288,12513,Rural
Kenilworth and Southam,29582,8852,Rural
Kensington,15457,33800,Urban
Kettering,29410,14766,Rural
Kingston and Surbiton,29771,19109,Urban
Kingston upon Hull East,21254,18059,Urban
Kingston upon Hull North,20272,21055,Urban
Kingston upon Hull West and Hessle,19673,21549,Urban
Kingswood,27892,9884,Urban
Knowsley,27722,19703,Urban
Lancaster and Fleetwood,23418,13045,Rural
Leeds Central,18581,42530,Urban
Leeds East,22294,20022,Urban
Leeds North East,25889,14122,Urban
Leeds North West,21599,14367,Urban
Leeds West,21326,22639,Urban
Leicester East,22594,17948,Urban
Leicester South,19650,24549,Urban
Leicester West,17848,24434,Urban
Leigh,32067,15763,Urban
Lewes,29186,10913,Rural
Lewisham Deptford,19753,32905,Urban
Lewisham East,21313,22048,Urban
Lewisham West and Penge,23283,24451,Urban
Leyton and Wanstead,19410,20654,Urban
Lichfield,31966,10827,Rural
Lincoln,25935,22133,Urban
Liverpool Riverside,16739,35911,Urban
Liverpool Walton,18462,22168,Urban
Liverpool Wavertree,20277,18441,Urban
Liverpool West Derby,21656,18382,Urban
Llanelli,24291,11432,Rural
Loughborough,28120,14736,Rural
Louth and Horncastle,32641,13220,Rural
Ludlow,26713,11289,Rural
Luton North,23532,13509,Urban
Luton South,21871,22888,Urban
Macclesfield,31520,11494,Rural
Maidenhead,30603,12335,Rural
Maidstone and The Weald,30821,15393,Rural
Makerfield,30854,11424,Urban
Maldon,30811,8589,Rural
Manchester Central,18022,45687,Urban
