age,averageValue,classification
0,386.8428526349006,Urban
1,401.41969075418115,Urban
2,404.2098453770906,Urban
3,405.2761123382771,Urban
4,415.64752287787945,Urban
5,420.4316819185863,Urban
6,414.29125907226256,Urban
7,417.6459450930893,Urban
8,431.96276427895236,Urban
9,434.908172925213,Urban
10,434.0975071000316,Urban
11,429.6547806879142,Urban
12,426.275796781319,Urban
13,423.97002208898704,Urban
14,409.479331019249,Urban
15,396.0631113916062,Urban
16,400.051120227201,Urban
17,393.51782896812875,Urban
18,418.7519722309877,Urban
19,475.0621647207321,Urban
20,481.3603660460713,Urban
21,487.9375197223099,Urban
22,487.52098453770907,Urban
23,490.5367623856106,Urban
24,503.1205427579678,Urban
25,505.66550962448724,Urban
26,516.2414010728936,Urban
27,526.3079835910382,Urban
28,533.837803723572,Urban
29,544.112338277059,Urban
30,556.2391921741875,Urban
31,549.5828337014831,Urban
32,548.0381823919217,Urban
33,548.7529189018618,Urban
34,531.9211107604923,Urban
35,529.6181760807826,Urban
36,519.3316503628905,Urban
37,506.3073524771221,Urban
38,501.50015777847904,Urban
39,496.214578731461,Urban
40,502.5039444619754,Urban
41,491.64436730829914,Urban
42,463.6386872830546,Urban
43,435.11801830230354,Urban
44,431.84727043231305,Urban
45,430.58346481539917,Urban
46,433.3938150836226,Urban
47,430.8011991164405,Urban
48,441.19248974439887,Urban
49,450.1745029977911,Urban
50,458.520353423793,Urban
51,446.3919217418744,Urban
52,452.04102240454404,Urban
53,445.00725781003473,Urban
54,441.142947301988,Urban
55,436.97633322814767,Urban
56,433.7232565478069,Urban
57,419.75859892710633,Urban
58,409.68223414326286,Urban
59,392.99368886083937,Urban
60,379.2511833385926,Urban
61,359.0672136320606,Urban
62,346.4102240454402,Urban
63,333.45345534869045,Urban
64,317.27201009782266,Urban
65,299.4461975386557,Urban
66,287.7399810665825,Urban
67,282.653202903124,Urban
68,271.3095613758283,Urban
69,262.6030293467971,Urban
70,259.54812243609973,Urban
71,259.60050489113286,Urban
72,260.20479646576206,Urban
73,276.2792679078574,Urban
74,271.2098453770906,Urban
75,205.50426001893342,Urban
76,211.57999368886084,Urban
77,193.67529189018617,Urban
78,181.73398548437993,Urban
79,155.13411170716313,Urban
80,147.05964026506786,Urban
81,149.3120858314926,Urban
82,140.98800883559483,Urban
83,130.4938466393184,Urban
84,119.67276743452193,Urban
85,107.28337014831177,Urban
86,95.21363206058693,Urban
87,83.07510255601136,Urban
88,74.21079204796466,Urban
89,64.23540549069106,Urban
90,55.929630798359106,Urban
91,45.78131902808457,Urban
92,36.355632691700855,Urban
93,28.06184916377406,Urban
94,22.055538024613444,Urban
95,16.485642158409593,Urban
96,12.298832439255285,Urban
97,8.652571789207952,Urban
98,6.12969390975071,Urban
99,4.337014831177028,Urban
100,6.351214894288419,Urban
0,204.34222783610957,Rural
1,214.8743980421568,Rural
2,221.6423778321623,Rural
3,226.02834135943792,Rural
4,233.9328175574327,Rural
5,239.4696455356438,Rural
6,236.8262414146996,Rural
7,240.19081076813768,Rural
8,251.24820399463172,Rural
9,255.0366306149838,Rural
10,255.4920659982632,Rural
11,253.13807531380752,Rural
12,252.80626825609852,Rural
13,252.13286492460725,Rural
14,245.17896897450066,Rural
15,238.589800268414,Rural
16,240.95673798057945,Rural
17,238.17589010815504,Rural
18,227.89839741059447,Rural
19,224.48717139022656,Rural
20,222.16641667324544,Rural
21,230.38106891923897,Rural
22,239.64719349490804,Rural
23,243.6359043183074,Rural
24,246.74982237309544,Rural
25,244.9763953580169,Rural
26,250.28096629036077,Rural
27,255.60851030236046,Rural
28,260.4945922475724,Rural
29,268.70916554827505,Rural
30,276.8392673877003,Rural
31,272.8481092602826,Rural
32,274.6766400884187,Rural
33,278.5775637483224,Rural
34,271.5588537143759,Rural
35,271.3186231941265,Rural
36,269.46230362358887,Rural
37,265.2339938422673,Rural
38,264.24362516775875,Rural
39,265.65200915765377,Rural
40,273.0594458040578,Rural
41,269.52364411462855,Rural
42,255.22302044683033,Rural
43,240.75550643404122,Rural
44,242.23723059919476,Rural
45,247.71334964869345,Rural
46,256.46885608273465,Rural
47,263.2441777847951,Rural
48,277.164995658009,Rural
49,291.555143285703,Rural
50,297.86287202968344,Rural
51,292.5592484408305,Rural
52,300.7170600773664,Rural
53,299.598010578669,Rural
54,303.76624299360543,Rural
55,304.4619878424252,Rural
56,306.14004894608036,Rural
57,300.25917739006866,Rural
58,294.0837609536591,Rural
59,285.6234309623431,Rural
60,277.20912607562957,Rural
61,264.3265177232178,Rural
62,260.26525617746904,Rural
63,253.406568248204,Rural
64,242.25617746901398,Rural
65,231.7709007657693,Rural
66,227.40475250651298,Rural
67,229.08620825767744,Rural
68,221.82924133575432,Rural
69,218.1077603220968,Rural
70,218.99384226730876,Rural
71,224.13878582142576,Rural
72,228.41864687771374,Rural
73,248.1173127022973,Rural
74,245.10381305755112,Rural
75,184.3864371990211,Rural
76,193.5221441541012,Rural
77,175.85434593826477,Rural
78,162.2639930528144,Rural
79,137.34246467198233,Rural
80,127.49988158206364,Rural
81,127.40443672534933,Rural
82,120.33543854109102,Rural
83,111.195073813847,Rural
84,101.48440830504461,Rural
85,90.40048946080367,Rural
86,80.48196100102629,Rural
87,69.87313491750217,Rural
88,62.28862398357938,Rural
89,54.29146601405226,Rural
90,47.10641825215126,Rural
91,38.03923580958396,Rural
92,30.60148417146917,Rural
93,23.825136180626824,Rural
94,18.694955395910632,Rural
95,13.996447461908897,Rural
96,10.340885766164048,Rural
97,7.340491039709481,Rural
98,5.197679008447146,Rural
99,3.7172969132391254,Rural
