region,age,ageCount,classification
East Midlands,0,46880,Rural
East Midlands,1,49579,Rural
East Midlands,2,50664,Rural
East Midlands,3,52007,Rural
East Midlands,4,54068,Rural
East Midlands,5,55342,Rural
East Midlands,6,55107,Rural
East Midlands,7,55487,Rural
East Midlands,8,58037,Rural
East Midlands,9,59345,Rural
East Midlands,10,58951,Rural
East Midlands,11,58145,Rural
East Midlands,12,58402,Rural
East Midlands,13,58621,Rural
East Midlands,14,56221,Rural
East Midlands,15,55153,Rural
East Midlands,16,54819,Rural
East Midlands,17,53961,Rural
East Midlands,18,57736,Rural
East Midlands,19,65590,Rural
East Midlands,20,65625,Rural
East Midlands,21,64210,Rural
East Midlands,22,60864,Rural
East Midlands,23,58021,Rural
East Midlands,24,57698,Rural
East Midlands,25,57204,Rural
East Midlands,26,59242,Rural
East Midlands,27,60035,Rural
East Midlands,28,61447,Rural
East Midlands,29,63238,Rural
East Midlands,30,64837,Rural
East Midlands,31,63842,Rural
East Midlands,32,63361,Rural
East Midlands,33,64614,Rural
East Midlands,34,62480,Rural
East Midlands,35,62751,Rural
East Midlands,36,62406,Rural
East Midlands,37,61122,Rural
East Midlands,38,61246,Rural
East Midlands,39,60508,Rural
East Midlands,40,63024,Rural
East Midlands,41,61356,Rural
East Midlands,42,58246,Rural
East Midlands,43,54507,Rural
East Midlands,44,55130,Rural
East Midlands,45,56835,Rural
East Midlands,46,59029,Rural
East Midlands,47,60387,Rural
East Midlands,48,64307,Rural
East Midlands,49,67812,Rural
East Midlands,50,69493,Rural
East Midlands,51,67725,Rural
East Midlands,52,70164,Rural
East Midlands,53,69421,Rural
East Midlands,54,69756,Rural
East Midlands,55,69757,Rural
East Midlands,56,69905,Rural
East Midlands,57,68119,Rural
East Midlands,58,67270,Rural
East Midlands,59,64980,Rural
East Midlands,60,63092,Rural
East Midlands,61,59802,Rural
East Midlands,62,58575,Rural
East Midlands,63,56649,Rural
East Midlands,64,54072,Rural
East Midlands,65,51879,Rural
East Midlands,66,50800,Rural
East Midlands,67,51645,Rural
East Midlands,68,50014,Rural
East Midlands,69,49480,Rural
East Midlands,70,49317,Rural
East Midlands,71,50883,Rural
East Midlands,72,51002,Rural
East Midlands,73,55495,Rural
East Midlands,74,54170,Rural
East Midlands,75,41226,Rural
East Midlands,76,43684,Rural
East Midlands,77,39867,Rural
East Midlands,78,35944,Rural
East Midlands,79,30094,Rural
East Midlands,80,27768,Rural
East Midlands,81,27580,Rural
East Midlands,82,26408,Rural
East Midlands,83,24144,Rural
East Midlands,84,21560,Rural
East Midlands,85,19374,Rural
East Midlands,86,17115,Rural
East Midlands,87,15051,Rural
East Midlands,88,13162,Rural
East Midlands,89,11459,Rural
East Midlands,90,9838,Rural
East Midlands,91,8011,Rural
East Midlands,92,6460,Rural
East Midlands,93,5008,Rural
East Midlands,94,3934,Rural
East Midlands,95,2897,Rural
East Midlands,96,2157,Rural
East Midlands,97,1510,Rural
East Midlands,98,1018,Rural
East Midlands,99,769,Rural
East Midlands,100,1054,Rural
East of England,0,64810,Rural
East of England,1,68572,Rural
East of England,2,70562,Rural
East of England,3,71651,Rural
East of England,4,73548,Rural
East of England,5,75470,Rural
East of England,6,74124,Rural
East of England,7,74869,Rural
East of England,8,77900,Rural
East of England,9,78255,Rural
East of England,10,78717,Rural
East of England,11,77916,Rural
East of England,12,77468,Rural
East of England,13,76782,Rural
East of England,14,74194,Rural
East of England,15,71952,Rural
East of England,16,71806,Rural
East of England,17,71840,Rural
East of England,18,65786,Rural
East of England,19,61650,Rural
East of England,20,61221,Rural
East of England,21,64790,Rural
East of England,22,70139,Rural
East of England,23,72675,Rural
East of England,24,73548,Rural
East of England,25,73732,Rural
East of England,26,75455,Rural
East of England,27,77892,Rural
East of England,28,79293,Rural
East of England,29,81568,Rural
East of England,30,84149,Rural
East of England,31,84020,Rural
East of England,32,85181,Rural
East of England,33,86545,Rural
East of England,34,84516,Rural
East of England,35,84681,Rural
East of England,36,83729,Rural
East of England,37,82974,Rural
East of England,38,82266,Rural
East of England,39,84246,Rural
East of England,40,86508,Rural
East of England,41,84906,Rural
East of England,42,81095,Rural
East of England,43,76200,Rural
East of England,44,77134,Rural
East of England,45,77516,Rural
East of England,46,80083,Rural
East of England,47,81708,Rural
East of England,48,84224,Rural
East of England,49,87280,Rural
East of England,50,88909,Rural
East of England,51,86457,Rural
East of England,52,89152,Rural
East of England,53,88672,Rural
East of England,54,89642,Rural
East of England,55,89669,Rural
East of England,56,88890,Rural
East of England,57,87072,Rural
East of England,58,84635,Rural
East of England,59,82231,Rural
East of England,60,79515,Rural
East of England,61,75153,Rural
East of England,62,74223,Rural
East of England,63,71892,Rural
East of England,64,68693,Rural
East of England,65,66160,Rural
East of England,66,64660,Rural
East of England,67,64302,Rural
East of England,68,62730,Rural
East of England,69,61370,Rural
East of England,70,61957,Rural
East of England,71,63559,Rural
East of England,72,65143,Rural
East of England,73,72075,Rural
East of England,74,73250,Rural
East of England,75,53602,Rural
East of England,76,56190,Rural
East of England,77,50540,Rural
East of England,78,47121,Rural
East of England,79,39109,Rural
East of England,80,36041,Rural
East of England,81,36838,Rural
East of England,82,35280,Rural
East of England,83,32947,Rural
East of England,84,30157,Rural
East of England,85,26948,Rural
East of England,86,24088,Rural
East of England,87,21026,Rural
East of England,88,18738,Rural
East of England,89,16580,Rural
East of England,90,14468,Rural
East of England,91,11695,Rural
East of England,92,9485,Rural
East of England,93,7425,Rural
East of England,94,5686,Rural
East of England,95,4324,Rural
East of England,96,3107,Rural
East of England,97,2213,Rural
East of England,98,1633,Rural
East of England,99,1088,Rural
East of England,100,1589,Rural
London,0,104232,Urban
London,1,107140,Urban
London,2,105690,Urban
London,3,105260,Urban
London,4,106631,Urban
London,5,106765,Urban
London,6,104130,Urban
London,7,104212,Urban
London,8,107669,Urban
London,9,108720,Urban
London,10,108796,Urban
London,11,108171,Urban
London,12,107533,Urban
London,13,106965,Urban
London,14,103977,Urban
London,15,99849,Urban
London,16,101944,Urban
London,17,100378,Urban
London,18,95561,Urban
London,19,91654,Urban
London,20,94517,Urban
London,21,102988,Urban
London,22,116421,Urban
London,23,131954,Urban
London,24,143305,Urban
London,25,150210,Urban
London,26,154755,Urban
London,27,158102,Urban
London,28,160627,Urban
London,29,162855,Urban
London,30,165073,Urban
London,31,164302,Urban
London,32,163551,Urban
London,33,160923,Urban
London,34,154493,Urban
London,35,153753,Urban
London,36,149864,Urban
London,37,145665,Urban
London,38,143954,Urban
London,39,142471,Urban
London,40,143338,Urban
London,41,140166,Urban
London,42,133275,Urban
London,43,126325,Urban
London,44,124180,Urban
London,45,121883,Urban
London,46,121536,Urban
London,47,117538,Urban
London,48,117321,Urban
London,49,115692,Urban
London,50,118353,Urban
London,51,115639,Urban
London,52,115755,Urban
London,53,113410,Urban
London,54,110636,Urban
London,55,109739,Urban
London,56,106933,Urban
London,57,103125,Urban
London,58,98730,Urban
London,59,93088,Urban
London,60,90757,Urban
London,61,85123,Urban
London,62,80571,Urban
London,63,75837,Urban
London,64,72297,Urban
London,65,67890,Urban
London,66,64024,Urban
London,67,60627,Urban
London,68,58194,Urban
London,69,55608,Urban
London,70,54804,Urban
London,71,53584,Urban
London,72,52820,Urban
London,73,54433,Urban
London,74,53494,Urban
London,75,42142,Urban
London,76,41568,Urban
London,77,38406,Urban
London,78,36308,Urban
London,79,31241,Urban
London,80,30100,Urban
London,81,30759,Urban
London,82,28972,Urban
London,83,26474,Urban
London,84,24359,Urban
London,85,21961,Urban
London,86,19536,Urban
London,87,16974,Urban
London,88,15227,Urban
London,89,13108,Urban
London,90,11469,Urban
London,91,9672,Urban
London,92,7616,Urban
London,93,5878,Urban
London,94,4520,Urban
London,95,3502,Urban
London,96,2656,Urban
London,97,1936,Urban
London,98,1314,Urban
London,99,847,Urban
London,100,1393,Urban
North East,0,24771,Rural
North East,1,25842,Rural
North East,2,26943,Rural
North East,3,27736,Rural
North East,4,29010,Rural
North East,5,29435,Rural
North East,6,28896,Rural
North East,7,29818,Rural
North East,8,31000,Rural
North East,9,31326,Rural
North East,10,31707,Rural
North East,11,31142,Rural
North East,12,30665,Rural
North East,13,30805,Rural
North East,14,30071,Rural
North East,15,28885,Rural
North East,16,28940,Rural
North East,17,28311,Rural
North East,18,30128,Rural
North East,19,33845,Rural
North East,20,33427,Rural
North East,21,33481,Rural
North East,22,32497,Rural
North East,23,31645,Rural
North East,24,31876,Rural
North East,25,31061,Rural
North East,26,31455,Rural
North East,27,31994,Rural
North East,28,32571,Rural
North East,29,33653,Rural
North East,30,34010,Rural
North East,31,32848,Rural
North East,32,33233,Rural
North East,33,34196,Rural
North East,34,33688,Rural
North East,35,33891,Rural
North East,36,33100,Rural
North East,37,32264,Rural
North East,38,32136,Rural
North East,39,32011,Rural
North East,40,32839,Rural
North East,41,32849,Rural
North East,42,30891,Rural
North East,43,27940,Rural
North East,44,27647,Rural
North East,45,29428,Rural
North East,46,29913,Rural
North East,47,30924,Rural
North East,48,32964,Rural
North East,49,35788,Rural
North East,50,36557,Rural
North East,51,35308,Rural
North East,52,36514,Rural
North East,53,36909,Rural
North East,54,38095,Rural
North East,55,38413,Rural
North East,56,39071,Rural
North East,57,38755,Rural
North East,58,38209,Rural
North East,59,37891,Rural
North East,60,36322,Rural
North East,61,35299,Rural
North East,62,35553,Rural
North East,63,34778,Rural
North East,64,33287,Rural
North East,65,31817,Rural
North East,66,30678,Rural
North East,67,30681,Rural
North East,68,29630,Rural
North East,69,28843,Rural
North East,70,28396,Rural
